stop_id,stop_name,stop_lat,stop_lon,s_coord_ft,s_coord_mi,district_id,zone_type,status,priority,is_existing,is_mandatory,is_school_stop,wheelchair_boarding,walk_buffer_ft,raw_walkshed_pop,marginal_walkshed_pop,equity_walkshed_pop,tdi,equity_priority,est_new_riders_daily,est_annual_boardings,annual_benefit_usd,capital_cost_usd,pv_benefits_usd,pv_total_costs_usd,net_pv_usd,bcr_20yr,fta_cei_per_user_hr,gap_before_ft,gap_after_ft,justification,data_sources
R27_OSM_65546441,Emiline Drive; Los Gatos Almaden Road,37.243465212938,-121.92360533650873,54710.0,10.362,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65546441 (degree=6)
R27_FORCE_007,Camden Ave & Highway 85 (transit hub area),37.2496,-121.9098,54984.0,10.414,,suburban,NEW_IN_SELECTION,—,False,False,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,Caltrans SR-85 / Camden Ave interchange; existing VTA stop stop_id 1757
R27_OSM_65586641,Gregg Drive; Leigh Avenue,37.24022512702021,-121.92269828550774,56169.0,10.638,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65586641 (degree=6)
R27_OSM_65562671,Kay Drive; Leigh Avenue,37.23704121580047,-121.92262247004317,57331.0,10.858,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1255,1255,601.34,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65562671 (degree=6)
R27_OSM_65600321,Blossom Hill Road; Del Oro Drive,37.236198658674034,-121.92074622226961,58178.0,11.018,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1315,1315,630.26,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65600321 (degree=6)
R27_OSM_65450491,Blossom Hill Road; Bobbywood Avenue,37.23622142403965,-121.91773155654015,59053.0,11.184,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1303,1303,624.59,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65450491 (degree=6)
R27_OSM_65616258,Belwood Gateway; Blossom Hill Road,37.23622513,-121.9170611,59248.0,11.221,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1294,1294,619.96,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65616258 (degree=5)
R27_OSM_65554050,Blossom Hill Road; Thureson Way,37.23624456675133,-121.91389950210102,60174.0,11.397,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1202,1202,576.15,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65554050 (degree=6)
R27_OSM_65422739,Blossom Hill Road; Drysdale Drive,37.23632422718122,-121.90785508475935,61930.0,11.729,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65422739 (degree=8)
R27_OSM_4513029003,Blossom Hill Road,37.23635483,-121.903942,63066.0,11.944,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2535,2535,1602.47,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 4513029003 (degree=6)
