route_id,source_route_id,seq,lat,lon
OPT_01,,55,37.242645,-121.922679
OPT_01,,56,37.24129,-121.922672
OPT_01,,57,37.240226,-121.922723
OPT_01,,58,37.239179,-121.9227
OPT_01,,59,37.239185,-121.922396
OPT_01,,60,37.239346,-121.922394
OPT_01,,61,37.239185,-121.922396
OPT_01,,62,37.239179,-121.9227
OPT_01,,63,37.237041,-121.922635
OPT_01,,64,37.236475,-121.922628
OPT_01,,65,37.236197,-121.922628
OPT_01,,66,37.236198,-121.92204
OPT_01,,67,37.236201,-121.92174
OPT_01,,68,37.236203,-121.921627
OPT_01,,69,37.236206,-121.921335
OPT_01,,70,37.236209,-121.921124
OPT_01,,71,37.23621,-121.921002
OPT_01,,72,37.236212,-121.920746
OPT_01,,73,37.236213,-121.920464
OPT_01,,74,37.236214,-121.92036
OPT_01,,75,37.236216,-121.920055
OPT_01,,76,37.236217,-121.919934
OPT_01,,77,37.236219,-121.91964
OPT_01,,78,37.23622,-121.919543
OPT_01,,79,37.23622,-121.919522
OPT_01,,80,37.236222,-121.919224
OPT_01,,81,37.236222,-121.919112
OPT_01,,82,37.236224,-121.918919
OPT_01,,83,37.236226,-121.918622
OPT_01,,84,37.236227,-121.917732
OPT_01,,85,37.236232,-121.917061
OPT_01,,86,37.236232,-121.916956
OPT_01,,87,37.236235,-121.916702
OPT_01,,88,37.236244,-121.915798
OPT_01,,89,37.236244,-121.915762
OPT_01,,90,37.236245,-121.915534
OPT_01,,91,37.236248,-121.914923
OPT_01,,92,37.23625,-121.914463
OPT_01,,93,37.236254,-121.9139
OPT_01,,94,37.236256,-121.913743
OPT_01,,95,37.236265,-121.913301
OPT_01,,96,37.236269,-121.912994
OPT_01,,97,37.236315,-121.910929
OPT_01,,98,37.236317,-121.910732
OPT_01,,99,37.236339,-121.907855
OPT_01,,100,37.236356,-121.905778
OPT_01,,101,37.236365,-121.904879
OPT_01,,102,37.23637,-121.904316
OPT_01,,103,37.236374,-121.90394
OPT_01,,104,37.236374,-121.903633
OPT_01,,105,37.236375,-121.903444
OPT_01,,106,37.236998,-121.900618
OPT_01,,107,37.237356,-121.899841
OPT_01,,108,37.237734,-121.899017
OPT_01,,109,37.238172,-121.898076
OPT_01,,110,37.239131,-121.895781
OPT_01,,111,37.239171,-121.895692
OPT_01,,112,37.24035,-121.893123
OPT_01,,113,37.240547,-121.892679
OPT_01,,114,37.240976,-121.89191
OPT_01,,115,37.241038,-121.891786
OPT_01,,116,37.241928,-121.890386
OPT_01,,117,37.242512,-121.88992
OPT_01,,118,37.243192,-121.889547
OPT_01,,119,37.243881,-121.889149
OPT_01,,120,37.244774,-121.888625
OPT_01,,121,37.24503,-121.888449
OPT_01,,122,37.24551,-121.887747
OPT_01,,123,37.245793,-121.887011
OPT_01,,124,37.246314,-121.886112
OPT_01,,125,37.246796,-121.885308
OPT_01,,126,37.247204,-121.884537
OPT_01,,127,37.247457,-121.884075
OPT_01,,128,37.247586,-121.883839
OPT_01,,129,37.248031,-121.883028
OPT_01,,130,37.248207,-121.882697
OPT_01,,131,37.248385,-121.882367
OPT_01,,132,37.2485,-121.882476
OPT_01,,133,37.247324,-121.884649
OPT_01,,134,37.24691,-121.885378
OPT_01,,135,37.246093,-121.886755
OPT_01,,136,37.24585,-121.887156
OPT_01,,137,37.245654,-121.887563
OPT_01,,138,37.24551,-121.887747
