timestamp,school,grade,current_mode,currently_rides_bus,would_ride_bus,n_total_columns
2026-01-13 11:55:51.622,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:55:54.639,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:55:55.832,,7th,I bike/skate/scooter,,,18
2026-01-13 11:55:57.006,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:55:59.846,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:56:01.025,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:56:04.117,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:56:04.441,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:56:11.532,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:56:14.949,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:56:24.990,,7th,I walk,,,18
2026-01-13 11:56:26.632,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:56:31.742,Front enterance,7th,A parent/guardian drives me,Yes,Stops nearer my house,18
2026-01-13 11:56:32.061,,7th,I bike/skate/scooter,,,18
2026-01-13 11:56:37.611,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:56:39.377,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:56:39.501,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:56:44.647,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:56:45.899,,7th,I carpool with another family,Yes,I have no interest in taking the bus,18
2026-01-13 11:56:46.110,,7th,I walk,,,18
2026-01-13 11:56:49.322,I don't care,7th,I carpool with another family,No,I dunno,18
2026-01-13 11:56:49.450,middle school,7th,A parent/guardian drives me,No,Arrives at school at a better time,18
2026-01-13 11:57:03.700,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:57:05.254,,7th,I walk,,,18
2026-01-13 11:57:05.891,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:57:26.897,no where ,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:57:43.005,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:57:49.285,I also don't know,7th,A parent/guardian drives me,No,I don't know,18
2026-01-13 11:57:50.304,T4,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:58:07.380,the same place,7th,A parent/guardian drives me,No,Arrives at school at a better time,18
2026-01-13 11:58:20.982,School,7th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 11:58:27.828,The Safeway complex.,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:58:36.001,school,7th,A parent/guardian drives me,Yes,My mom doesn't allow me to.,18
